 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =  53,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  2.300E+00  4.02802E-04 -6.74572E-10  2.07446E-09 -1.19237E-11  3.66257E-11
  2.400E+00  4.38585E-04 -6.83438E-10  1.89021E-09 -1.26056E-11  3.48254E-11
  2.500E+00  4.75889E-04 -6.86311E-10  1.72650E-09 -1.31862E-11  3.31362E-11
  2.600E+00  5.14715E-04 -6.84539E-10  1.58053E-09 -1.36785E-11  3.15497E-11
  2.700E+00  5.55063E-04 -6.79180E-10  1.44996E-09 -1.40938E-11  3.00579E-11
  2.800E+00  5.96931E-04 -6.71069E-10  1.33281E-09 -1.44417E-11  2.86541E-11
  2.900E+00  6.40321E-04 -6.60867E-10  1.22740E-09 -1.47307E-11  2.73319E-11
  3.000E+00  6.85233E-04 -6.49100E-10  1.13232E-09 -1.49680E-11  2.60853E-11
  3.100E+00  7.31665E-04 -6.36187E-10  1.04633E-09 -1.51600E-11  2.49092E-11
  3.200E+00  7.79618E-04 -6.22463E-10  9.68384E-10 -1.53122E-11  2.37984E-11
  3.300E+00  8.29092E-04 -6.08195E-10  8.97571E-10 -1.54296E-11  2.27487E-11
  3.400E+00  8.80086E-04 -5.93594E-10  8.33100E-10 -1.55164E-11  2.17556E-11
  3.500E+00  9.32601E-04 -5.78829E-10  7.74283E-10 -1.55763E-11  2.08154E-11
  3.600E+00  9.86636E-04 -5.64032E-10  7.20520E-10 -1.56127E-11  1.99245E-11
  3.700E+00  1.04219E-03 -5.49308E-10  6.71285E-10 -1.56285E-11  1.90796E-11
  3.800E+00  1.09927E-03 -5.34739E-10  6.26116E-10 -1.56262E-11  1.82777E-11
  3.900E+00  1.15786E-03 -5.20387E-10  5.84605E-10 -1.56079E-11  1.75159E-11
  4.000E+00  1.21797E-03 -5.06300E-10  5.46394E-10 -1.55758E-11  1.67916E-11
  4.100E+00  1.27961E-03 -4.92514E-10  5.11164E-10 -1.55315E-11  1.61024E-11
  4.200E+00  1.34276E-03 -4.79055E-10  4.78634E-10 -1.54766E-11  1.54462E-11
  4.300E+00  1.40743E-03 -4.65940E-10  4.48553E-10 -1.54123E-11  1.48208E-11
  4.400E+00  1.47362E-03 -4.53181E-10  4.20698E-10 -1.53399E-11  1.42244E-11
  4.500E+00  1.54133E-03 -4.40786E-10  3.94868E-10 -1.52605E-11  1.36552E-11
  4.600E+00  1.61056E-03 -4.28755E-10  3.70886E-10 -1.51749E-11  1.31115E-11
  4.700E+00  1.68131E-03 -4.17090E-10  3.48592E-10 -1.50841E-11  1.25919E-11
  4.800E+00  1.75357E-03 -4.05787E-10  3.27843E-10 -1.49886E-11  1.20949E-11
  4.900E+00  1.82735E-03 -3.94840E-10  3.08508E-10 -1.48891E-11  1.16192E-11
  5.000E+00  1.90265E-03 -3.84243E-10  2.90472E-10 -1.47863E-11  1.11637E-11
  5.100E+00  1.97947E-03 -3.73988E-10  2.73629E-10 -1.46806E-11  1.07272E-11
  5.200E+00  2.05780E-03 -3.64068E-10  2.57884E-10 -1.45725E-11  1.03087E-11
  5.300E+00  2.13765E-03 -3.54473E-10  2.43151E-10 -1.44624E-11  9.90714E-12
  5.400E+00  2.21902E-03 -3.45193E-10  2.29353E-10 -1.43505E-11  9.52167E-12
  5.500E+00  2.30190E-03 -3.36218E-10  2.16417E-10 -1.42374E-11  9.15142E-12
  5.600E+00  2.38630E-03 -3.27539E-10  2.04280E-10 -1.41231E-11  8.79562E-12
  5.700E+00  2.47222E-03 -3.19147E-10  1.92882E-10 -1.40080E-11  8.45352E-12
  5.800E+00  2.55965E-03 -3.11030E-10  1.82169E-10 -1.38924E-11  8.12443E-12
  5.900E+00  2.64859E-03 -3.03180E-10  1.72093E-10 -1.37763E-11  7.80770E-12
  6.000E+00  2.73905E-03 -2.95586E-10  1.62608E-10 -1.36600E-11  7.50272E-12
  6.100E+00  2.83103E-03 -2.88241E-10  1.53673E-10 -1.35436E-11  7.20893E-12
  6.200E+00  2.92452E-03 -2.81134E-10  1.45251E-10 -1.34272E-11  6.92579E-12
  6.300E+00  3.01952E-03 -2.74257E-10  1.37306E-10 -1.33111E-11  6.65280E-12
  6.400E+00  3.11604E-03 -2.67601E-10  1.29806E-10 -1.31953E-11  6.38948E-12
  6.500E+00  3.21407E-03 -2.61158E-10  1.22722E-10 -1.30799E-11  6.13540E-12
  6.600E+00  3.31362E-03 -2.54920E-10  1.16027E-10 -1.29649E-11  5.89014E-12
  6.700E+00  3.41468E-03 -2.48879E-10  1.09696E-10 -1.28505E-11  5.65329E-12
  6.800E+00  3.51725E-03 -2.43029E-10  1.03706E-10 -1.27368E-11  5.42449E-12
  6.900E+00  3.62133E-03 -2.37361E-10  9.80340E-11 -1.26237E-11  5.20339E-12
  7.000E+00  3.72692E-03 -2.31870E-10  9.26616E-11 -1.25114E-11  4.98965E-12
  7.100E+00  3.83403E-03 -2.26548E-10  8.75700E-11 -1.23999E-11  4.78296E-12
  7.200E+00  3.94265E-03 -2.21388E-10  8.27422E-11 -1.22892E-11  4.58303E-12
  7.300E+00  4.05278E-03 -2.16386E-10  7.81622E-11 -1.21794E-11  4.38957E-12
  7.400E+00  4.16442E-03 -2.11535E-10  7.38154E-11 -1.20705E-11  4.20231E-12
  7.500E+00  4.27757E-03 -2.06829E-10  6.96880E-11 -1.19625E-11  4.02102E-12
  7.600E+00  4.39223E-03 -2.02264E-10  6.57672E-11 -1.18555E-11  3.84543E-12
  7.700E+00  4.50840E-03 -1.97834E-10  6.20412E-11 -1.17494E-11  3.67533E-12
  7.800E+00  4.62608E-03 -1.93534E-10  5.84988E-11 -1.16443E-11  3.51051E-12
  7.900E+00  4.74527E-03 -1.89360E-10  5.51297E-11 -1.15402E-11  3.35074E-12
  8.000E+00  4.86597E-03 -1.85306E-10  5.19242E-11 -1.14371E-11  3.19585E-12
  8.100E+00  4.98817E-03 -1.81369E-10  4.88732E-11 -1.13350E-11  3.04565E-12
  8.200E+00  5.11188E-03 -1.77544E-10  4.59683E-11 -1.12340E-11  2.89995E-12
  8.300E+00  5.23711E-03 -1.73828E-10  4.32015E-11 -1.11340E-11  2.75859E-12
  8.400E+00  5.36383E-03 -1.70217E-10  4.05654E-11 -1.10350E-11  2.62140E-12
  8.500E+00  5.49207E-03 -1.66706E-10  3.80531E-11 -1.09370E-11  2.48825E-12
  8.600E+00  5.62181E-03 -1.63292E-10  3.56580E-11 -1.08401E-11  2.35897E-12
  8.700E+00  5.75306E-03 -1.59973E-10  3.33740E-11 -1.07442E-11  2.23342E-12
  8.800E+00  5.88581E-03 -1.56744E-10  3.11952E-11 -1.06493E-11  2.11149E-12
  8.900E+00  6.02007E-03 -1.53603E-10  2.91164E-11 -1.05555E-11  1.99303E-12
  9.000E+00  6.15583E-03 -1.50547E-10  2.71324E-11 -1.04626E-11  1.87793E-12
  9.100E+00  6.29310E-03 -1.47572E-10  2.52384E-11 -1.03708E-11  1.76607E-12
  9.200E+00  6.43187E-03 -1.44677E-10  2.34298E-11 -1.02800E-11  1.65733E-12
  9.300E+00  6.57214E-03 -1.41858E-10  2.17025E-11 -1.01902E-11  1.55162E-12
  9.400E+00  6.71392E-03 -1.39112E-10  2.00524E-11 -1.01014E-11  1.44883E-12
  9.500E+00  6.85720E-03 -1.36438E-10  1.84758E-11 -1.00136E-11  1.34886E-12
  9.600E+00  7.00198E-03 -1.33834E-10  1.69690E-11 -9.92676E-12  1.25161E-12
  9.700E+00  7.14827E-03 -1.31296E-10  1.55287E-11 -9.84090E-12  1.15700E-12
  9.800E+00  7.29605E-03 -1.28822E-10  1.41518E-11 -9.75600E-12  1.06494E-12
  9.900E+00  7.44534E-03 -1.26412E-10  1.28351E-11 -9.67205E-12  9.75353E-13
  1.000E+01  7.59612E-03 -1.24062E-10  1.15759E-11 -9.58905E-12  8.88151E-13
  1.025E+01  7.97965E-03 -1.18439E-10  8.66198E-12 -9.38561E-12  6.80101E-13
  1.050E+01  8.37255E-03 -1.13155E-10  6.05238E-12 -9.18787E-12  4.85393E-13
  1.075E+01  8.77480E-03 -1.08185E-10  3.71365E-12 -8.99566E-12  3.03019E-13
  1.100E+01  9.18641E-03 -1.03504E-10  1.61646E-12 -8.80883E-12  1.32060E-13
  1.125E+01  9.60736E-03 -9.90921E-11 -2.64983E-13 -8.62722E-12 -2.83179E-14
  1.150E+01  1.00376E-02 -9.49295E-11 -1.95336E-12 -8.45065E-12 -1.78875E-13
  1.175E+01  1.04773E-02 -9.09985E-11 -3.46872E-12 -8.27898E-12 -3.20307E-13
  1.200E+01  1.09262E-02 -8.72831E-11 -4.82876E-12 -8.11205E-12 -4.53249E-13
  1.225E+01  1.13844E-02 -8.37682E-11 -6.04920E-12 -7.94970E-12 -5.78283E-13
  1.250E+01  1.18520E-02 -8.04404E-11 -7.14398E-12 -7.79178E-12 -6.95943E-13
  1.275E+01  1.23288E-02 -7.72870E-11 -8.12552E-12 -7.63815E-12 -8.06721E-13
  1.300E+01  1.28150E-02 -7.42967E-11 -9.00487E-12 -7.48866E-12 -9.11067E-13
  1.325E+01  1.33104E-02 -7.14588E-11 -9.79191E-12 -7.34317E-12 -1.00940E-12
  1.350E+01  1.38150E-02 -6.87635E-11 -1.04955E-11 -7.20156E-12 -1.10210E-12
  1.375E+01  1.43290E-02 -6.62019E-11 -1.11235E-11 -7.06368E-12 -1.18952E-12
  1.400E+01  1.48521E-02 -6.37655E-11 -1.16830E-11 -6.92943E-12 -1.27199E-12
  1.425E+01  1.53845E-02 -6.14467E-11 -1.21805E-11 -6.79866E-12 -1.34982E-12
  1.450E+01  1.59262E-02 -5.92384E-11 -1.26217E-11 -6.67127E-12 -1.42329E-12
  1.475E+01  1.64770E-02 -5.71338E-11 -1.30116E-11 -6.54715E-12 -1.49266E-12
  1.500E+01  1.70371E-02 -5.51270E-11 -1.33551E-11 -6.42619E-12 -1.55816E-12
  1.525E+01  1.76063E-02 -5.32122E-11 -1.36563E-11 -6.30827E-12 -1.62003E-12
  1.550E+01  1.81848E-02 -5.13841E-11 -1.39191E-11 -6.19331E-12 -1.67848E-12
  1.575E+01  1.87724E-02 -4.96377E-11 -1.41468E-11 -6.08120E-12 -1.73370E-12
  1.600E+01  1.93692E-02 -4.79685E-11 -1.43426E-11 -5.97186E-12 -1.78588E-12
  1.625E+01  1.99751E-02 -4.63721E-11 -1.45094E-11 -5.86518E-12 -1.83518E-12
  1.650E+01  2.05901E-02 -4.48447E-11 -1.46497E-11 -5.76109E-12 -1.88177E-12
  1.675E+01  2.12143E-02 -4.33824E-11 -1.47659E-11 -5.65950E-12 -1.92579E-12
  1.700E+01  2.18476E-02 -4.19817E-11 -1.48601E-11 -5.56033E-12 -1.96738E-12
  1.725E+01  2.24900E-02 -4.06395E-11 -1.49342E-11 -5.46351E-12 -2.00667E-12
  1.750E+01  2.31415E-02 -3.93526E-11 -1.49901E-11 -5.36896E-12 -2.04379E-12
  1.775E+01  2.38021E-02 -3.81181E-11 -1.50293E-11 -5.27661E-12 -2.07885E-12
  1.800E+01  2.44717E-02 -3.69335E-11 -1.50533E-11 -5.18639E-12 -2.11196E-12
  1.825E+01  2.51504E-02 -3.57961E-11 -1.50634E-11 -5.09824E-12 -2.14322E-12
