 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 3.70000E+06 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
  1.750E+01  2.31415E-02  3.99729E-12  1.95226E-12  5.39792E-13  2.63457E-13
  1.775E+01  2.38021E-02  3.88219E-12  1.90187E-12  5.31825E-13  2.60362E-13
  1.800E+01  2.44717E-02  3.77191E-12  1.85343E-12  5.24081E-13  2.57342E-13
  1.825E+01  2.51504E-02  3.66617E-12  1.80682E-12  5.16551E-13  2.54394E-13
  1.850E+01  2.58382E-02  3.56475E-12  1.76197E-12  5.09227E-13  2.51516E-13
  1.875E+01  2.65349E-02  3.46740E-12  1.71878E-12  5.02099E-13  2.48705E-13
  1.900E+01  2.72407E-02  3.37391E-12  1.67717E-12  4.95161E-13  2.45958E-13
  1.925E+01  2.79555E-02  3.28408E-12  1.63706E-12  4.88404E-13  2.43274E-13
  1.950E+01  2.86793E-02  3.19771E-12  1.59838E-12  4.81821E-13  2.40650E-13
  1.975E+01  2.94120E-02  3.11465E-12  1.56106E-12  4.75407E-13  2.38084E-13
  2.000E+01  3.01537E-02  3.03471E-12  1.52504E-12  4.69154E-13  2.35574E-13
  2.025E+01  3.09043E-02  2.95775E-12  1.49026E-12  4.63057E-13  2.33118E-13
  2.050E+01  3.16639E-02  2.88362E-12  1.45666E-12  4.57109E-13  2.30714E-13
